prot1	prot2	r	p	padj
ACAD9	COX4I1	0.675585081791321	7.98258349746926e-05	0.000188133730707957
ACAD9	COX6C	0.651136242404024	0.000175068142880204	0.000379641194399741
ACAD9	COX7C	0.631298326954056	0.000315308386608899	0.000638359680392369
ACAD9	COX7A2L	0.725295177765622	1.26237927474772e-05	3.63291049203416e-05
ACAD9	COX6B1	0.334375613715461	0.0820102463164488	0.096030935455242
ACAD9	COX7A1	0.716147496638406	1.82376688951475e-05	5.05252656634702e-05
ACAD9	CYC1	0.738951555237234	7.09030771639832e-06	2.1830006908337e-05
ACAD9	ECSIT	0.672261928496495	8.91931579268969e-05	0.000207681976511791
ACAD9	FOXRED1	0.43284035678183	0.0391143267719812	0.0479980658183187
ACAD9	NDUFA2	0.687307669494688	5.33607924790249e-05	0.000132790524380447
ACAD9	NDUFA3	0.695952111208364	3.91796236732265e-05	0.000100130702981174
ACAD9	NDUFA5	0.780920574098957	9.42811372145011e-07	3.58631155139693e-06
ACAD9	NDUFA6	0.676302685144169	7.79216905956052e-05	0.000184721707418336
ACAD9	NDUFA7	0.690784605806379	4.71850811426274e-05	0.000118281520972397
ACAD9	NDUFA8	0.479275956562867	0.00986474301931078	0.0137846314883778
ACAD9	NDUFA9	0.768623535992543	1.77740153696583e-06	6.37630269345034e-06
ACAD9	NDUFA10	0.732892976515277	9.1971682195524e-06	2.74068225658951e-05
ACAD9	NDUFA11	0.660001799643269	0.000132754167896471	0.000296846587380758
ACAD9	NDUFA12	0.641174974049747	0.000236452340430871	0.000495614792654538
ACAD9	NDUFA13	0.725939271746133	1.22943152465565e-05	3.5501069760242e-05
ACAD9	NDUFB1	0.658510660029309	0.000634650436488068	0.00119571042879597
ACAD9	NDUFB3	0.685969234739858	5.59234400714822e-05	0.000138240508161154
ACAD9	NDUFB4	0.613409337708289	0.000518322468363646	0.000999814397380828
ACAD9	NDUFB5	0.751994496013944	3.95134631538306e-06	1.29348483794745e-05
ACAD9	NDUFB6	0.790357437474031	5.63647458818175e-07	2.302163749228e-06
ACAD9	NDUFB7	0.582216928639861	0.00115231682590088	0.00203495220504193
ACAD9	NDUFB8	0.545547425091189	0.00267677954669536	0.00429907018105618
ACAD9	NDUFB9	0.592638640445604	0.000890329275737768	0.0016180935255854
ACAD9	NDUFB10	0.710139424054618	2.30480877497495e-05	6.24528829348051e-05
ACAD9	NDUFB11	0.56956005907945	0.00155845696987911	0.00266448675523641
ACAD9	NDUFC2	0.686036146019165	5.57927743894356e-05	0.00013814762601878
ACAD9	NDUFAF3	0.189746135396044	0.333499245475574	0.357682158722538
ACAD9	NDUFAF4	0.687548309237821	5.29112982498516e-05	0.000131745581548288
ACAD9	NDUFAF5	0.616639595350296	0.00172603120770908	0.0029206731040368
ACAD9	NDUFAF6	0.666166537389847	0.000108937933149135	0.000248458851629072
ACAD9	NDUFAF7	0.566196150450145	0.0016852769130745	0.00285931890892061
ACAD9	NDUFS1	0.763216392641575	2.32086719268085e-06	8.13582735575995e-06
ACAD9	NDUFS2	0.756039820375969	3.27225227356825e-06	1.0978196776131e-05
