prot1	prot2	r	p	padj
ACAD9	NDUFB1	0.496608664683615	0.00986172866309999	0.01661886700864
ACAD9	NDUFB3	0.672634464589466	3.39531285297729e-05	0.000110656902977575
ACAD9	NDUFB4	0.0538585998664824	0.773532130042217	0.803908277614651
ACAD9	NDUFB5	0.405885590213705	0.0234806338771516	0.0364268991156905
ACAD9	NDUFB6	0.156230828334363	0.40131117613881	0.454985921241311
ACAD9	NDUFB7	-0.167693840989428	0.367205742640693	0.421250136214827
ACAD9	NDUFB8	-0.0889364713678195	0.634236051563626	0.677550459215589
ACAD9	NDUFB9	0.0956455890524108	0.608774122721255	0.653262566390182
ACAD9	NDUFB10	0.431091050804425	0.0154694819628441	0.0250327344098352
ACAD9	NDUFB11	0.224024989844733	0.225691323123249	0.273230559270487
ACAD9	NDUFC2	0.0597117730865257	0.749663044652031	0.781600132674312
ACAD9	NDUFAF3	-0.098484790942454	0.598130527456128	0.643814178524544
ACAD9	NDUFAF4	0.585927533256461	0.000533515071619271	0.00125994181883343
ACAD9	NDUFAF5	0.747833636728245	1.12564720502374e-05	4.128898487675e-05
ACAD9	NDUFAF6	0.560699417753285	0.00103463307994284	0.00222889246564118
ACAD9	NDUFAF7	0.52943461600274	0.00219338802165682	0.00431101134481081
ACAD9	NDUFS1	0.476285717274643	0.00675737849786491	0.0118625479839109
ACAD9	NDUFS2	0.58852093156085	0.000496864179563466	0.00118105783048193
ACAD9	NDUFS3	0.465892048368656	0.00825489687037879	0.0141850851468344
ACAD9	NDUFS4	0.354097329828633	0.0506587750663516	0.072675305421378
ACAD9	NDUFS5	0.456631743164145	0.00981716337075099	0.0165510102457994
ACAD9	NDUFS6	-0.00237616417205383	0.989878117480301	0.991184599817494
ACAD9	NDUFS7	0.344664774744681	0.0575910463327439	0.0815410397843391
ACAD9	NDUFS8	0.214870692658242	0.245720445405581	0.294812722057513
ACAD9	NDUFV1	0.551788499176072	0.00129131042152726	0.00269882692322869
ACAD9	NDUFV2	0.43348883167255	0.0148438074876885	0.0240973650798709
ACAD9	NDUFV3	-0.247454745461664	0.279486213399681	0.330532928915393
ACAD9	MT-ND1	0.530093109507011	0.00216052970284364	0.00425561713861716
ACAD9	MT-ND4	0.597858707249437	0.00125727299934926	0.00264224685735819
ACAD9	MT-ND5	0.544471467667808	0.00154202383197075	0.00315615669205524
ACAD9	NUBPL	-0.0133809059390914	0.943045036753794	0.953306908128641
ACAD9	UQCRC1	0.569783171321074	0.000820098960285645	0.00182815399961815
ACAD9	UQCRC2	0.578490806186989	0.000652165273975785	0.0015023564408592
ACAD9	UQCRH	0.689941192809155	1.7536771797367e-05	6.11235721451873e-05
ACAD9	UQCRB	0.491726381546148	0.00496200045444407	0.00899165050502763
ACAD9	UQCRQ	0.01096621024658	0.953310688357228	0.960697421607727
ACAD9	UQCR10	0.465413347869977	0.00833014556330594	0.014298198568691
ACAD9	SCO1	-0.198950170984466	0.283289624244948	0.334336108261085
ACAD9	SCO2	-0.0519528086744041	0.801002517140771	0.829238903348826
ACAD9	SDHA	0.250704083668362	0.173722115609567	0.217726616259567
ACAD9	SDHB	0.649081107792116	7.80975948811318e-05	0.000227447378054326
ACAD9	SDHAF2	0.249732034548398	0.369376760224538	0.42340839429075
ACAD9	SURF1	0.117087513205922	0.530469648639723	0.581434587191914
ACAD9	TIMMDC1	0.647035263882088	0.00204551627280215	0.00406424708589934
ACAD9	UQCRFS1	0.652987791108577	6.83543983248816e-05	0.000203100013821711
ACAD9	UQCC1	0.590278927639313	0.000473300284343846	0.0011309516505686
ACAD9	UQCC2	0.279313400351194	0.128080953549892	0.16568182387038
ACAD9	UQCC3	-0.959612390302449	0.00968405935975269	0.0163508301949534
NDUFAB1	ATP5PB	0.430807738296422	0.0155448394808115	0.0251278797289254
NDUFAB1	ATP5PD	0.652788608549079	6.8823504723367e-05	0.000204360465427767
NDUFAB1	ATP5ME	0.604497835318311	0.000316176100275888	0.000785952181493941
NDUFAB1	ATP5MG	0.574557413144424	0.000723851951822989	0.00164337859585947
NDUFAB1	ATP5F1A	0.617662900750881	0.000213873938086366	0.000556316666382364
NDUFAB1	ATP5F1B	0.588777382773	0.000493363547369615	0.0011733494606199
NDUFAB1	ATP5F1D	0.462212608135891	0.00884835950815734	0.0150966013797347
NDUFAB1	ATPAF1	0.658750933826213	5.5961267156687e-05	0.000170391764613538
NDUFAB1	ATPAF2	0.539267666203656	0.00174520759509322	0.00352604748018834
