prot1	prot2	r
ATP5PD	COA7	0.607126487254644
ATP5PD	MT-CO1	0.486739579063693
ATP5PD	COX11	0.672848018454035
ATP5PD	COX19	0.855811313980342
ATP5PD	MT-CO2	0.922664310999747
ATP5PD	COX20	0.604764738922158
ATP5PD	COX4I1	0.876411285125926
ATP5PD	COX6C	0.781471781387537
ATP5PD	COX7C	0.799165914053406
ATP5PD	COX7A2L	0.858178617878065
ATP5PD	COX6B1	0.548008126886475
ATP5PD	COX7A1	0.759959033980577
ATP5PD	CYC1	0.945473014984042
ATP5PD	ECSIT	0.571116634204459
ATP5PD	FOXRED1	0.649717952932779
ATP5PD	NDUFA2	0.828199586661112
ATP5PD	NDUFA3	0.879884980036903
ATP5PD	NDUFA5	0.900524264614802
ATP5PD	NDUFA6	0.825493452901157
ATP5PD	NDUFA7	0.795108321958797
ATP5PD	NDUFA8	0.560908733988036
ATP5PD	NDUFA9	0.897099019393446
ATP5PD	NDUFA10	0.858771998366662
ATP5PD	NDUFA11	0.7598062987178
ATP5PD	NDUFA12	0.671679648655752
ATP5PD	NDUFA13	0.803608349623366
ATP5PD	NDUFB1	0.608119169033344
ATP5PD	NDUFB3	0.835205710905225
ATP5PD	NDUFB4	0.663473374073914
ATP5PD	NDUFB5	0.895693924202672
ATP5PD	NDUFB6	0.881582575213637
ATP5PD	NDUFB7	0.668772034739759
ATP5PD	NDUFB8	0.680655659186002
ATP5PD	NDUFB9	0.780983823344998
ATP5PD	NDUFB10	0.914777165105345
ATP5PD	NDUFB11	0.718748337755291
ATP5PD	NDUFC2	0.873043871439038
ATP5PD	NDUFAF4	0.750641581080042
ATP5PD	NDUFAF5	0.645240776234089
ATP5PD	NDUFAF6	0.82444695540102
ATP5PD	NDUFAF7	0.761029205589526
ATP5PD	NDUFS1	0.883154216370915
ATP5PD	NDUFS2	0.889784632383725
ATP5PD	NDUFS3	0.937753919028451
ATP5PD	NDUFS4	0.917766583006589
ATP5PD	NDUFS5	0.81504022646327
ATP5PD	NDUFS6	0.878139496584915
ATP5PD	NDUFS7	0.751916270095994
ATP5PD	NDUFS8	0.79670426042054
ATP5PD	NDUFV1	0.858874560084315
ATP5PD	NDUFV2	0.741753104060065
ATP5PD	MT-ND1	0.714027120554747
ATP5PD	MT-ND4	0.541011306154229
ATP5PD	MT-ND5	0.562269589926111
ATP5PD	NUBPL	0.702750932936417
ATP5PD	UQCRC1	0.930936095551625
ATP5PD	UQCRC2	0.945154350371597
ATP5PD	UQCRH	0.503830564592041
ATP5PD	UQCRB	0.928378905309272
ATP5PD	UQCRQ	0.816105601559554
ATP5PD	UQCR10	0.651728064071059
ATP5PD	SCO1	0.588394322038688
ATP5PD	SCO2	0.620191058594862
ATP5PD	SDHA	0.855776774708551
ATP5PD	SDHB	0.926295688138556
ATP5PD	SDHAF2	0.80655324954526
ATP5PD	SURF1	0.549796589299536
ATP5PD	TIMMDC1	0.573946132809695
ATP5PD	UQCRFS1	0.859119805317948
ATP5PD	UQCC1	0.75519726303885
ATP5PD	UQCC2	0.697516039729687
ATP5ME	ATP5MG	0.913890756370655
ATP5ME	ATP5F1A	0.955220867697071
ATP5ME	ATP5F1B	0.948074493656698
ATP5ME	ATP5F1D	0.923851943682492
ATP5ME	ATPAF1	0.932884107942818
ATP5ME	ATPAF2	0.887341328390088
ATP5ME	ATP5F1C	0.965767665102113
ATP5ME	ATP5MF	0.946696574840423
ATP5ME	ATP5PO	0.946507382772397
ATP5ME	BCS1L	0.786989409004779
ATP5ME	SDHC	0.88894876139563
ATP5ME	NDUFAF1	0.462180885982178
ATP5ME	COA3	0.776159791359892
ATP5ME	COA5	0.742853687048905
ATP5ME	COA6	0.733094641290548
ATP5ME	COA7	0.554930974382207
ATP5ME	MT-CO1	0.537347712314321
ATP5ME	COX11	0.703364479933393
ATP5ME	COX19	0.788750344897669
ATP5ME	MT-CO2	0.925780239394216
ATP5ME	COX20	0.720255833417772
ATP5ME	COX4I1	0.849441505759857
ATP5ME	COX6C	0.737504766078527
ATP5ME	COX7C	0.751516794779493
ATP5ME	COX7A2L	0.847210107628383
ATP5ME	COX6B1	0.455696402208225
ATP5ME	COX7A1	0.739509252413514
ATP5ME	CYC1	0.958190177168054
ATP5ME	ECSIT	0.6573366462006
ATP5ME	FOXRED1	0.684290176449784
ATP5ME	NDUFA2	0.795012480101152
ATP5ME	NDUFA3	0.810479723463088
ATP5ME	NDUFA5	0.869017931407168
ATP5ME	NDUFA6	0.836934117960768
ATP5ME	NDUFA7	0.78091083504843
ATP5ME	NDUFA8	0.502337597929095
ATP5ME	NDUFA9	0.903432680439244
