prot1	prot2	r
ATP5ME	NDUFAF3	0.410759668793064
ATP5ME	NDUFAF4	0.635477446697464
ATP5ME	NDUFAF5	0.469135950896388
ATP5ME	NDUFAF6	0.66611250379527
ATP5ME	NDUFAF7	0.696925092052833
ATP5ME	NDUFS1	0.781015779452009
ATP5ME	NDUFS2	0.785370693201818
ATP5ME	NDUFS3	0.757765010084623
ATP5ME	NDUFS4	0.860333310513437
ATP5ME	NDUFS5	0.721087260175607
ATP5ME	NDUFS6	0.640058391634602
ATP5ME	NDUFS7	0.559186514954447
ATP5ME	NDUFS8	0.709017721599559
ATP5ME	NDUFV1	0.756779774138632
ATP5ME	NDUFV2	0.678826564651306
ATP5ME	MT-ND1	0.703891107416528
ATP5ME	MT-ND4	0.676598657014611
ATP5ME	MT-ND5	0.71356857581614
ATP5ME	NUBPL	0.502273809760934
ATP5ME	UQCRC1	0.887665103892286
ATP5ME	UQCRC2	0.877526544430578
ATP5ME	UQCRH	0.541525584191538
ATP5ME	UQCRB	0.888378113459662
ATP5ME	UQCRQ	0.612861265855678
ATP5ME	UQCR10	0.6789277824376
ATP5ME	SDHA	0.759251804515023
ATP5ME	SDHB	0.700715792871669
ATP5ME	SURF1	0.444743127656033
ATP5ME	TIMMDC1	0.619681311476872
ATP5ME	UQCRFS1	0.886866568661104
ATP5ME	UQCC1	0.502879518443222
ATP5ME	UQCC2	0.463166880658395
ATP5MG	ATP5F1A	0.919635355988816
ATP5MG	ATP5F1B	0.860632468607748
ATP5MG	ATP5F1D	0.492367131526805
ATP5MG	ATPAF1	0.863936588570274
ATP5MG	ATPAF2	0.854427214225744
ATP5MG	ATP5F1C	0.883040205549796
ATP5MG	ATP5MF	0.909670003740523
ATP5MG	ATP5PO	0.935379746752083
ATP5MG	BCS1L	0.660484913621342
ATP5MG	SDHC	0.783114934463838
ATP5MG	NDUFAF1	0.626338625568017
ATP5MG	COA3	0.647770307540894
ATP5MG	COA7	0.613209726225535
ATP5MG	MT-CO1	0.849645912149261
ATP5MG	COX11	0.434089321788198
ATP5MG	COX17	0.639113337629817
ATP5MG	COX19	0.725074236170278
ATP5MG	MT-CO2	0.884750024896469
ATP5MG	COX20	0.564783025487048
ATP5MG	COX4I1	0.763252976248598
ATP5MG	COX6C	0.674376381299686
ATP5MG	COX7C	0.678497070112937
ATP5MG	COX7A2L	0.632754555731549
ATP5MG	COX6B1	0.567584531105892
ATP5MG	COX7A1	0.691460537452875
ATP5MG	CYC1	0.868534145933999
ATP5MG	ECSIT	0.538192538406658
ATP5MG	FOXRED1	0.452684996614806
